name,message,country,date,rating,is_approved,status
"Ludovica","It was really a pleasure meeting you and your family. I appreciated your kindness so much, and I always felt really safe with you. I think you are a very special driver and person! Thank you also for all the information about the country, the people, and their habits. Please say goodbye from me to Chamila and your kids. I wish you all the best!","Italy","2019-08-02",5,1,1
"Giorgio","I really appreciated your approach and availability. I wish you all the best for your professional career. You are so kind!","Italy","2019-08-02",5,1,1
"Michael & Henrika","Thanks a million for driving us safely to so many highlights of Sri Lanka, and for the great conversations and laughter we shared. It was a very diverse two weeks, and we enjoyed every single day! Special thanks to your lovely wife, who prepared a delicious dinner for us. Next time, we will bring the rest of our family with us too! All the best to you and your family. We look forward to meeting you again. It was ""Allemachtig prachtig""!","Netherlands","2026-02-23",5,1,1
"Judith de Vries","It has been a fantastic trip! Thank you so much for showing me the ""authentic"" Sri Lanka. I really enjoyed every moment. Not only did you help me plan this trip beforehand, but you also drove me safely throughout the country and taught me so much about the history and culture of Sri Lanka. I feel very fortunate to take all these experiences home with me. You made my travels (which were on a tight schedule) very pleasant. You were flexible when I changed my plans and made my trip carefree and without any stress. You truly went above and beyond—for instance, when you guided me to the hospital for the rabies shot. I can't thank you enough! Lastly, I want to share my utmost gratitude to your wife and family, who made the most delicious meal for me. Thank you all for the warm hospitality; this was one of the highlights of my trip.","Netherlands","2026-03-28",5,1,1
"Guests (Feb 2022)","It has been a pleasure traveling with you during these ten wonderful days around Sri Lanka. The trip would not have been the same without your support. We especially admire your courtesy, professionalism, kindness, and flexibility in adjusting the program at a moment's notice. We also enjoyed your subtle humor every time we started the journey late; but to you, we were always ""on time!"" Aside from that, you are an excellent and safe driver—we always felt safe with you. We were delighted by the kindness of your wife and the traditional cookies she offered us. Please give our thanks to Chamila.","Guest","2022-02-12",5,1,1
"Anonymous Guest","Traveling with a complete stranger for three weeks could be difficult, but you've made it pleasant and easy because of your quiet and nice manners. We came to Sri Lanka to rest and leave our worries behind, and you’ve helped us do so splendidly. We thank you. We will never forget your kindness in picking us up from the hotel in Ella in the middle of the night because there was a fire nearby and we were afraid to stay. It was a great pleasure meeting your wife, Chamila, and spending time with her. Please thank her for many gestures she made to make us feel so welcome.","Guest","2025-10-14",5,1,1
"Family Guest","Thank you for taking such good care of us this past week. We honestly couldn't have asked for a better driver, guide, teacher, and general life-saver in Sri Lankan traffic! You handled those roads like a superhero! Your hotel and restaurant tips were spot on—no upset stomachs here! Thanks for helping us sort out tickets and for accommodating our changing plans. We loved learning about Sri Lanka and Buddhism from you; it made the trip so special. Thanks also for taking us to the Sri Lankan dance show—the boys left with huge smiles on their faces! Special thanks to your wife for making us such yummy treats.","Guest","2025-12-24",5,1,1
"Jeff","First of all, Sri Lanka was an amazing discovery! It is truly a great place to see the best views you have ever seen; everything is so green and the people are so friendly. Rajith was amazing, helpful, and professional. He is 1,000,000% highly recommended! If you want to see Sri Lanka, do it with Rajith. Thank you so much. See you soon!","Guest","2022-05-07",5,1,1
"Rebekah from Alaska","You have been simply the best driver ever. I felt very safe with your driving. Everything was fun, easy, and pleasant. Also, your wife is very beautiful and a good cook! I hope you and your family have long, healthy lives and enjoy traveling too.","USA","2023-01-27",5,1,1
"Souheil Hlimi","The Sri Lanka trip was one of my best experiences—not only because of the nature and the kindness of the Sri Lankan people, but because of the person who gave us motivation at every step and facilitated the trip for us. Honestly, that person is the humble Rajith. I want to thank him for everything he did for us. Thank you so much!","Tunisia","2022-07-05",5,1,1
"Paul & Libby","Thank you so much for a FABULOUS trip around Sri Lanka! You made it so enjoyable with your vast knowledge. We felt very safe in your hands as a driver. We also enjoyed meeting Chamila and the boys. Your choice of guides at special events, such as the temples and safaris, really added to our trip. Istuti and Ayubowan,","Australia","2023-02-27",5,1,1
"Dana, Adela, and friends","You are an experienced and friendly guide who provides all the information about the places we visited, including the history and culture of the region. Our vacation would not have been half as exciting if we did not have you by our side. It has been a pleasure discovering Sri Lanka with you. Thank you for taking care of us; we felt truly protected. Your calmness, patience with three ""stubborn"" Romanians, helpfulness, and friendliness were much appreciated! Thank you for doing that special tour when I was in pain—you did not let me give up, and I really enjoyed my trip. I hope to come back to Sri Lanka someday to visit you and your family. I will always carry the ""Sri Lankan pharmacy tour"" memory with me! If you ever come to Europe, please let us know; hopefully, it will be our turn to show you a special time.","Romania","2022-02-17",5,1,1
"Anonymous Guest 2","Many thanks for driving us so safely all around Sri Lanka, and for always being so smiling and punctual! :) We would definitely ask for your services again if we return to Sri Lanka.","Guest","2022-12-03",5,1,1
